
0it [00:00, ?it/s]
312it [00:38,  8.99it/s]
313it [00:39,  8.15it/s]
315it [00:39,  9.25it/s]
316it [00:39,  8.96it/s]
317it [00:39,  8.45it/s]
319it [00:39,  8.70it/s]
320it [00:39,  8.81it/s]
322it [00:40,  8.85it/s]
323it [00:40,  8.93it/s]
325it [00:40,  8.95it/s]
327it [00:40,  9.29it/s]
328it [00:40,  9.32it/s]
330it [00:40, 10.18it/s]
332it [00:41, 10.78it/s]
334it [00:41, 10.71it/s]
336it [00:41, 10.58it/s]
338it [00:41,  9.59it/s]
339it [00:41,  8.61it/s]
340it [00:42,  8.79it/s]
342it [00:42,  9.05it/s]
344it [00:42,  9.06it/s]
346it [00:42,  8.19it/s]
347it [00:42,  8.36it/s]
348it [00:43,  7.64it/s]
349it [00:43,  7.52it/s]
350it [00:43,  7.64it/s]
351it [00:43,  7.46it/s]
352it [00:43,  7.61it/s]
353it [00:43,  7.15it/s]
354it [00:43,  6.90it/s]
355it [00:43,  7.41it/s]
356it [00:44,  7.32it/s]
357it [00:44,  6.70it/s]
359it [00:44,  7.50it/s]
360it [00:44,  7.90it/s]
362it [00:44,  8.26it/s]
364it [00:45,  9.15it/s]
366it [00:45,  9.39it/s]
368it [00:45,  9.99it/s]
370it [00:45, 10.00it/s]
372it [00:45,  8.65it/s]
373it [00:46,  8.65it/s]
375it [00:46,  8.92it/s]
376it [00:46,  8.37it/s]
378it [00:46,  8.19it/s]
379it [00:46,  8.16it/s]
380it [00:46,  8.14it/s]
381it [00:47,  7.35it/s]
382it [00:47,  7.75it/s]
383it [00:47,  7.83it/s]
384it [00:47,  7.73it/s]
385it [00:47,  6.84it/s]
386it [00:47,  6.49it/s]
387it [00:47,  6.47it/s]
389it [00:48,  7.09it/s]
390it [00:48,  6.72it/s]
391it [00:48,  7.02it/s]
392it [00:48,  6.41it/s]
393it [00:48,  6.97it/s]
394it [00:48,  7.24it/s]
395it [00:49,  7.72it/s]
396it [00:49,  7.98it/s]
398it [00:49,  8.68it/s]
399it [00:49,  7.29it/s]
400it [00:49,  7.43it/s]
401it [00:49,  7.55it/s]
402it [00:49,  7.68it/s]
403it [00:50,  6.56it/s]
404it [00:50,  6.93it/s]
405it [00:50,  6.30it/s]
406it [00:50,  5.79it/s]
407it [00:50,  6.46it/s]
408it [00:50,  7.18it/s]
409it [00:50,  7.58it/s]
411it [00:51,  9.24it/s]
412it [00:51,  8.40it/s]
413it [00:51,  8.32it/s]
415it [00:51,  9.55it/s]
416it [00:51,  9.15it/s]
417it [00:51,  8.09it/s]
418it [00:52,  7.58it/s]
420it [00:52,  9.03it/s]
422it [00:52,  9.61it/s]
423it [00:52,  8.65it/s]
424it [00:52,  8.67it/s]
426it [00:52,  9.50it/s]
428it [00:53, 10.30it/s]
430it [00:53,  9.67it/s]
431it [00:53,  9.15it/s]
433it [00:53,  9.84it/s]
434it [00:53,  9.54it/s]
435it [00:53,  9.30it/s]
436it [00:53,  9.46it/s]
437it [00:53,  9.52it/s]
438it [00:54,  9.57it/s]
440it [00:54, 10.06it/s]
442it [00:54, 10.44it/s]
444it [00:54, 10.51it/s]
446it [00:54, 10.73it/s]
448it [00:55, 10.48it/s]
450it [00:55, 10.31it/s]
452it [00:55, 10.39it/s]
454it [00:55,  9.62it/s]
455it [00:55,  9.00it/s]
456it [00:55,  8.95it/s]
458it [00:56,  9.19it/s]
459it [00:56,  8.61it/s]
460it [00:56,  8.69it/s]
461it [00:56,  8.72it/s]
463it [00:56,  9.27it/s]
464it [00:56,  8.73it/s]
465it [00:56,  8.33it/s]
466it [00:57,  8.26it/s]
467it [00:57,  8.24it/s]
468it [00:57,  8.29it/s]
470it [00:57,  8.79it/s]
471it [00:57,  8.63it/s]
472it [00:57,  8.26it/s]
473it [00:57,  8.60it/s]
474it [00:58,  8.63it/s]
476it [00:58,  8.99it/s]
477it [00:58,  9.02it/s]
479it [00:58,  9.16it/s]
480it [00:58,  8.90it/s]
481it [00:58,  9.00it/s]
482it [00:58,  8.88it/s]
484it [00:59,  9.82it/s]
485it [00:59,  8.91it/s]
487it [00:59,  9.55it/s]
488it [00:59,  9.16it/s]
489it [00:59,  8.89it/s]
490it [00:59,  8.18it/s]
491it [00:59,  8.19it/s]
492it [01:00,  7.82it/s]
493it [01:00,  8.16it/s]
494it [01:00,  8.43it/s]
495it [01:00,  8.36it/s]
496it [01:00,  8.32it/s]
497it [01:00,  8.31it/s]
498it [01:00,  8.50it/s]
500it [01:00,  9.71it/s]
502it [01:01,  8.99it/s]
504it [01:01,  9.93it/s]
506it [01:01,  9.99it/s]
508it [01:01,  8.44it/s]
510it [01:02,  9.57it/s]
512it [01:02,  9.68it/s]
514it [01:02,  9.79it/s]
516it [01:02, 10.52it/s]
518it [01:02,  9.61it/s]
520it [01:03,  9.20it/s]
521it [01:03,  8.74it/s]
522it [01:03,  8.09it/s]
523it [01:03,  7.60it/s]
525it [01:03,  8.54it/s]
527it [01:03,  9.34it/s]
529it [01:04,  9.20it/s]
530it [01:04,  9.12it/s]
531it [01:04,  9.07it/s]
532it [01:04,  9.11it/s]
534it [01:04,  9.43it/s]
535it [01:04,  9.39it/s]
537it [01:04, 10.22it/s]
539it [01:05,  7.63it/s]
540it [01:05,  7.71it/s]
542it [01:05,  8.31it/s]
543it [01:05,  7.23it/s]
544it [01:06,  6.48it/s]
545it [01:06,  6.93it/s]
546it [01:06,  6.42it/s]
547it [01:06,  7.00it/s]
549it [01:06,  7.91it/s]
550it [01:06,  7.70it/s]
551it [01:07,  6.70it/s]
552it [01:07,  6.05it/s]
554it [01:07,  7.22it/s]
555it [01:07,  7.18it/s]
556it [01:07,  7.11it/s]
557it [01:07,  6.57it/s]
558it [01:08,  6.90it/s]
559it [01:08,  7.34it/s]
560it [01:08,  7.53it/s]
561it [01:08,  7.58it/s]
562it [01:08,  7.63it/s]
563it [01:08,  7.69it/s]
564it [01:08,  7.51it/s]
565it [01:08,  7.96it/s]
566it [01:09,  7.69it/s]
567it [01:09,  7.74it/s]
568it [01:09,  8.11it/s]
569it [01:09,  8.00it/s]
570it [01:09,  8.33it/s]
572it [01:09,  8.96it/s]
573it [01:09,  7.84it/s]
574it [01:10,  7.80it/s]
576it [01:10,  8.32it/s]
578it [01:10,  8.79it/s]
579it [01:10,  8.34it/s]
580it [01:10,  7.78it/s]
581it [01:10,  7.82it/s]
583it [01:11,  7.69it/s]
584it [01:11,  7.13it/s]
586it [01:11,  7.97it/s]
587it [01:11,  8.22it/s]
588it [01:11,  8.17it/s]
589it [01:11,  7.80it/s]
590it [01:12,  8.10it/s]
591it [01:12,  7.82it/s]
592it [01:12,  7.62it/s]
593it [01:12,  7.45it/s]
594it [01:12,  7.89it/s]
595it [01:12,  8.18it/s]
596it [01:12,  6.79it/s]
598it [01:13,  7.45it/s]
600it [01:13,  8.71it/s]
601it [01:13,  8.48it/s]
602it [01:13,  7.14it/s]
603it [01:13,  7.30it/s]
604it [01:13,  7.71it/s]
605it [01:13,  7.77it/s]
606it [01:14,  7.84it/s]
607it [01:14,  6.84it/s]
608it [01:14,  7.16it/s]
609it [01:14,  6.88it/s]
611it [01:14,  8.23it/s]
612it [01:14,  8.40it/s]
613it [01:15,  7.00it/s]
615it [01:15,  8.18it/s]
616it [01:15,  8.09it/s]
617it [01:15,  8.29it/s]
618it [01:15,  8.18it/s]
619it [01:15,  7.84it/s]
620it [01:15,  8.17it/s]
621it [01:15,  8.40it/s]
622it [01:16,  8.29it/s]
623it [01:16,  7.61it/s]
625it [01:16,  7.29it/s]
626it [01:16,  6.49it/s]
627it [01:16,  6.11it/s]
629it [01:17,  7.51it/s]
630it [01:17,  7.78it/s]
631it [01:17,  6.93it/s]
633it [01:17,  7.74it/s]
634it [01:17,  7.75it/s]
636it [01:18,  7.85it/s]
637it [01:18,  7.23it/s]
638it [01:18,  7.20it/s]
639it [01:18,  6.99it/s]
640it [01:18,  7.46it/s]
642it [01:18,  8.06it/s]
643it [01:19,  7.39it/s]
644it [01:19,  7.55it/s]
645it [01:19,  6.76it/s]
646it [01:19,  6.62it/s]
648it [01:19,  7.75it/s]
649it [01:19,  6.78it/s]
650it [01:20,  6.65it/s]
652it [01:20,  7.00it/s]
653it [01:20,  7.18it/s]
654it [01:20,  6.38it/s]
655it [01:20,  6.55it/s]
656it [01:20,  7.05it/s]
657it [01:21,  6.83it/s]
658it [01:21,  7.14it/s]
659it [01:21,  7.13it/s]
660it [01:21,  6.89it/s]
661it [01:21,  7.38it/s]
663it [01:21,  8.65it/s]
664it [01:21,  8.21it/s]
666it [01:22,  8.54it/s]
667it [01:22,  8.39it/s]
668it [01:22,  8.05it/s]
670it [01:22,  9.04it/s]
672it [01:22,  9.03it/s]
674it [01:23,  9.24it/s]
675it [01:23,  9.00it/s]
676it [01:23,  8.12it/s]
678it [01:23,  8.77it/s]
679it [01:23,  8.07it/s]
680it [01:23,  8.41it/s]
682it [01:23,  9.33it/s]
684it [01:24,  9.18it/s]
686it [01:24,  9.88it/s]
688it [01:24, 10.13it/s]
690it [01:24,  9.27it/s]
692it [01:24, 10.12it/s]
694it [01:25,  9.28it/s]
696it [01:25,  9.66it/s]
697it [01:25,  9.19it/s]
698it [01:25,  8.89it/s]
699it [01:25,  8.65it/s]
700it [01:25,  7.70it/s]
702it [01:26,  7.21it/s]
703it [01:26,  7.51it/s]
704it [01:26,  6.64it/s]
705it [01:26,  7.14it/s]
706it [01:26,  7.60it/s]
707it [01:26,  7.22it/s]
708it [01:27,  7.43it/s]
709it [01:27,  7.87it/s]
710it [01:27,  7.64it/s]
712it [01:27,  8.54it/s]
714it [01:27,  9.03it/s]
715it [01:27,  8.51it/s]
716it [01:27,  8.60it/s]
717it [01:28,  8.74it/s]
718it [01:28,  7.20it/s]
719it [01:28,  6.70it/s]
720it [01:28,  6.81it/s]
721it [01:28,  7.37it/s]
722it [01:28,  7.30it/s]
723it [01:29,  6.57it/s]
725it [01:29,  8.22it/s]
726it [01:29,  7.67it/s]
727it [01:29,  8.02it/s]
728it [01:29,  8.02it/s]
729it [01:29,  7.75it/s]
730it [01:29,  7.01it/s]
731it [01:30,  6.32it/s]
733it [01:30,  7.49it/s]
734it [01:30,  7.37it/s]
735it [01:30,  7.54it/s]
736it [01:30,  6.71it/s]
737it [01:30,  7.26it/s]
739it [01:31,  8.23it/s]
740it [01:31,  8.45it/s]
741it [01:31,  8.33it/s]
742it [01:31,  8.55it/s]
744it [01:31,  9.32it/s]
745it [01:31,  8.40it/s]
747it [01:32,  7.63it/s]
748it [01:32,  7.45it/s]
749it [01:32,  6.80it/s]
750it [01:32,  7.29it/s]
751it [01:32,  6.44it/s]
753it [01:32,  7.55it/s]
754it [01:33,  7.23it/s]
755it [01:33,  7.36it/s]
756it [01:33,  7.76it/s]
757it [01:33,  7.53it/s]
758it [01:33,  7.14it/s]
759it [01:33,  7.27it/s]
760it [01:33,  7.35it/s]
761it [01:34,  7.82it/s]
762it [01:34,  7.83it/s]
763it [01:34,  6.62it/s]
764it [01:34,  6.73it/s]
766it [01:34,  7.86it/s]
767it [01:34,  7.62it/s]
768it [01:35,  7.04it/s]
770it [01:35,  7.99it/s]
771it [01:35,  7.97it/s]
773it [01:35,  8.20it/s]
774it [01:35,  7.69it/s]
775it [01:35,  7.28it/s]
776it [01:36,  6.46it/s]
777it [01:36,  7.01it/s]
779it [01:36,  7.76it/s]
781it [01:36,  9.01it/s]
782it [01:36,  8.82it/s]
784it [01:36,  9.64it/s]
786it [01:37,  9.49it/s]
787it [01:37,  9.20it/s]
788it [01:37,  8.57it/s]
789it [01:37,  8.43it/s]
790it [01:37,  8.61it/s]
791it [01:37,  8.15it/s]
792it [01:37,  8.10it/s]
794it [01:38,  9.04it/s]
795it [01:38,  7.95it/s]
797it [01:38,  8.86it/s]
798it [01:38,  8.95it/s]
799it [01:38,  8.71it/s]
800it [01:38,  8.22it/s]
800it [01:38,  8.10it/s]
